source_video,frame_index,timestamp_sec,sample_fps,video_fps,participant_id,view_angle,camera_type,label,model_id,prob_incorrect,pred_label,rule_status,rule_warnings,error_type
dataset\external_videos\correct\P06_correct_front_001.mp4,0,0.0,2.0,29.937008292579204,P06,front,external_video,0,rule_based_baseline,1.0,1,INCORRECT,Mũi gần ngang vai / rụt cổ quá sâu,false_positive
dataset\external_videos\correct\P06_correct_front_001.mp4,14,0.467649,2.0,29.937008292579204,P06,front,external_video,0,rule_based_baseline,1.0,1,INCORRECT,Mũi gần ngang vai / rụt cổ quá sâu,false_positive
dataset\external_videos\correct\P06_correct_front_001.mp4,28,0.935297,2.0,29.937008292579204,P06,front,external_video,0,rule_based_baseline,1.0,1,INCORRECT,Mũi gần ngang vai / rụt cổ quá sâu,false_positive
dataset\external_videos\correct\P06_correct_front_001.mp4,42,1.402946,2.0,29.937008292579204,P06,front,external_video,0,rule_based_baseline,1.0,1,INCORRECT,Mũi gần ngang vai / rụt cổ quá sâu,false_positive
dataset\external_videos\correct\P06_correct_front_001.mp4,56,1.870594,2.0,29.937008292579204,P06,front,external_video,0,rule_based_baseline,1.0,1,INCORRECT,Lệch vai hoặc nghiêng vai; Mũi gần ngang vai / rụt cổ quá sâu,false_positive
dataset\external_videos\correct\P06_correct_front_001.mp4,70,2.338243,2.0,29.937008292579204,P06,front,external_video,0,rule_based_baseline,1.0,1,INCORRECT,Lệch vai hoặc nghiêng vai; Mũi gần ngang vai / rụt cổ quá sâu,false_positive
dataset\external_videos\correct\P06_correct_front_001.mp4,84,2.805892,2.0,29.937008292579204,P06,front,external_video,0,rule_based_baseline,1.0,1,INCORRECT,Lệch vai hoặc nghiêng vai; Mũi gần ngang vai / rụt cổ quá sâu,false_positive
dataset\external_videos\correct\P06_correct_front_001.mp4,98,3.27354,2.0,29.937008292579204,P06,front,external_video,0,rule_based_baseline,1.0,1,INCORRECT,Lệch vai hoặc nghiêng vai; Mũi gần ngang vai / rụt cổ quá sâu,false_positive
dataset\external_videos\correct\P06_correct_front_001.mp4,112,3.741189,2.0,29.937008292579204,P06,front,external_video,0,rule_based_baseline,1.0,1,INCORRECT,Lệch vai hoặc nghiêng vai; Mũi gần ngang vai / rụt cổ quá sâu,false_positive
dataset\external_videos\correct\P06_correct_front_001.mp4,126,4.208837,2.0,29.937008292579204,P06,front,external_video,0,rule_based_baseline,1.0,1,INCORRECT,Lệch vai hoặc nghiêng vai; Mũi gần ngang vai / rụt cổ quá sâu,false_positive
dataset\external_videos\correct\P06_correct_front_001.mp4,140,4.676486,2.0,29.937008292579204,P06,front,external_video,0,rule_based_baseline,1.0,1,INCORRECT,Lệch vai hoặc nghiêng vai; Mũi gần ngang vai / rụt cổ quá sâu,false_positive
dataset\external_videos\correct\P06_correct_front_001.mp4,154,5.144135,2.0,29.937008292579204,P06,front,external_video,0,rule_based_baseline,1.0,1,INCORRECT,Lệch vai hoặc nghiêng vai; Mũi gần ngang vai / rụt cổ quá sâu,false_positive
dataset\external_videos\correct\P06_correct_front_001.mp4,168,5.611783,2.0,29.937008292579204,P06,front,external_video,0,rule_based_baseline,1.0,1,INCORRECT,Lệch vai hoặc nghiêng vai; Mũi gần ngang vai / rụt cổ quá sâu,false_positive
dataset\external_videos\correct\P06_correct_front_001.mp4,182,6.079432,2.0,29.937008292579204,P06,front,external_video,0,rule_based_baseline,1.0,1,INCORRECT,Lệch vai hoặc nghiêng vai; Mũi gần ngang vai / rụt cổ quá sâu,false_positive
dataset\external_videos\correct\P06_correct_front_001.mp4,196,6.54708,2.0,29.937008292579204,P06,front,external_video,0,rule_based_baseline,1.0,1,INCORRECT,Lệch vai hoặc nghiêng vai; Mũi gần ngang vai / rụt cổ quá sâu,false_positive
dataset\external_videos\correct\P06_correct_front_001.mp4,210,7.014729,2.0,29.937008292579204,P06,front,external_video,0,rule_based_baseline,1.0,1,INCORRECT,Lệch vai hoặc nghiêng vai; Mũi gần ngang vai / rụt cổ quá sâu,false_positive
dataset\external_videos\correct\P06_correct_front_001.mp4,224,7.482378,2.0,29.937008292579204,P06,front,external_video,0,rule_based_baseline,1.0,1,INCORRECT,Lệch vai hoặc nghiêng vai; Mũi gần ngang vai / rụt cổ quá sâu,false_positive
dataset\external_videos\correct\P06_correct_front_001.mp4,238,7.950026,2.0,29.937008292579204,P06,front,external_video,0,rule_based_baseline,1.0,1,INCORRECT,Lệch vai hoặc nghiêng vai; Mũi gần ngang vai / rụt cổ quá sâu,false_positive
dataset\external_videos\correct\P06_correct_front_001.mp4,252,8.417675,2.0,29.937008292579204,P06,front,external_video,0,rule_based_baseline,1.0,1,INCORRECT,Lệch vai hoặc nghiêng vai; Mũi gần ngang vai / rụt cổ quá sâu,false_positive
dataset\external_videos\correct\P06_correct_front_001.mp4,266,8.885323,2.0,29.937008292579204,P06,front,external_video,0,rule_based_baseline,1.0,1,INCORRECT,Lệch vai hoặc nghiêng vai; Mũi gần ngang vai / rụt cổ quá sâu,false_positive
dataset\external_videos\correct\P06_correct_front_001.mp4,280,9.352972,2.0,29.937008292579204,P06,front,external_video,0,rule_based_baseline,1.0,1,INCORRECT,Lệch vai hoặc nghiêng vai; Mũi gần ngang vai / rụt cổ quá sâu,false_positive
